Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location
20-26478,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/07/2020,04/10/2020,06115031700,HENRY JAMES,"James Gaines, Rebecca Gaines",3807  GALLATIN PIKE,NASHVILLE,TN,37216.00000,8,37011200,"3807 GALLATIN PIKE
NASHVILLE, TN 37216
(36.214491, -86.730474)"
19-26404,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/19/2019,04/13/2020,16100028100,SAL'S FAMILY PIZZA,Latifkhon Fayz,5545  EDMONDSON PIKE,NASHVILLE,TN,37211.00000,4,37018801,"5545 EDMONDSON PIKE
NASHVILLE, TN 37211
(36.041417, -86.743793)"
T21-27110,TEMPORARY,BBPERMIT,ONSALES,BB - On Site Sales,03/05/2021,,15600010500,HARPETH VALLEY GOLF CENTER,Stan Smoot,7629  OLD HARDING PIKE,NASHVILLE,TN,37221.00000,35,37018405,"7629 OLD HARDING PIKE
NASHVILLE, TN 37221
(36.057424, -86.946072)"
19-25924,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/07/2019,06/13/2019,10602000600,VARIOUS ARTISTS BREWING COMPANY,"Jeffrey Joel Bergman, Patrick James Isbey",1011  ELM HILL PIKE,NASHVILLE,TN,37210.00000,19,37019600,"1011 ELM HILL PIKE
NASHVILLE, TN 37210
(36.14398, -86.736393)"
19-26014,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/07/2019,06/13/2019,10408011400,SUSHI 88,,2119  BELCOURT AVE,NASHVILLE,TN,37212.00000,18,37016800,"2119 BELCOURT AVE
NASHVILLE, TN 37212
(36.136784, -86.802506)"
19-26071,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/30/2019,06/13/2019,08008031000,FOOD MART LLC,,1497  COUNTY HOSPITAL RD,NASHVILLE,TN,37218.00000,1,37012802,"1497 COUNTY HOSPITAL RD
NASHVILLE, TN 37218
(36.185198, -86.842144)"
19-26208,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/16/2019,11/01/2019,09310043900,INFINITY HOSPITALITY INC.,,400  4TH AVE S,NASHVILLE,TN,37201.00000,19,37019500,"400 4TH AVE S
NASHVILLE, TN 37201
(36.156825, -86.774481)"
19-26205,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/15/2019,11/01/2019,10700012900,Embassy Suites By Hilton Nashville Airport,,10  CENTURY BLVD,NASHVILLE,TN,37214.00000,15,37015100,"10 CENTURY BLVD
NASHVILLE, TN 37214
(36.144714, -86.686523)"
20-26438,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/20/2020,04/13/2020,16300036700,HAMPTON INN,,210  CROSSINGS PL,ANTIOCH,TN,37013.00000,32,37015629,"210 CROSSINGS PL
ANTIOCH, TN 37013
(36.044401, -86.64822)"
T21-27310,TEMPORARY,BBPERMIT,ONSALES,BB - On Site Sales,06/23/2021,,07500017600,CHIPOTLE MEXICAN GRILL #3728,,5000B  OLD HICKORY BLVD,HERMITAGE,TN,37076.00000,11,37015404,"5000B OLD HICKORY BLVD
HERMITAGE, TN 37076
(36.194458, -86.618416)"
20-26457,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/29/2020,04/13/2020,08216006900,JOYLAND,"Amplified Investments 2, LLC, Pokeweed Productions, LLC",901  WOODLAND ST  101,NASHVILLE,TN,37206.00000,6,37019200,"901 WOODLAND ST 101
NASHVILLE, TN 37206
(36.175138, -86.75611)"
20-26472,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/05/2020,08/27/2020,11905011900,NASHVILLE HOOKAH BAR,,2521A  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,16,37017300,"2521A NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.117664, -86.748591)"
21-27061,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/28/2021,02/25/2021,13300010500,KOTO DISCOUNT TOBACCO,,4037  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,26,37018901,"4037 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.082584, -86.727222)"
19-25907,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/03/2019,06/14/2019,17212010600,DEEP SOUTH GROWLERS,Cynthia B Anderton,6900  LENOX VILLAGE DR  6,NASHVILLE,TN,37211.00000,31,37019114,"6900 LENOX VILLAGE DR 6
NASHVILLE, TN 37211
(36.025525, -86.712036)"
19-26001,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/30/2019,06/14/2019,16900001200,LOVELESS CAFE C-STORE,,8456  HIGHWAY 100,NASHVILLE,TN,37221.00000,35,37018408,"8456 HIGHWAY 100
NASHVILLE, TN 37221
(36.034622, -86.972909)"
19-26022,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/09/2019,06/14/2019,09309016800,VIRAGO,100,1120  MCGAVOCK ST,NASHVILLE,TN,37203.00000,19,37019500,"1120 MCGAVOCK ST
NASHVILLE, TN 37203
(36.155867, -86.78605)"
19-25960,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/28/2019,06/14/2019,10510030200,LOVE PEACE & PHO,,2112  8TH AVE S,NASHVILLE,TN,37204.00000,17,37017000,"2112 8TH AVE S
NASHVILLE, TN 37204
(36.131462, -86.778867)"
19-26000,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/29/2019,06/14/2019,09116037300,Another Broken Egg Cafe,,4111  CHARLOTTE AVE,NASHVILLE,TN,37209.00000,24,37013400,"4111 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.152385, -86.83657)"
19-26003,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/01/2019,06/14/2019,09507015500,DoubleTree Suites by Hilton Nashville Airport,,2424  ATRIUM WAY,NASHVILLE,TN,37214.00000,15,37015100,"2424 ATRIUM WAY
NASHVILLE, TN 37214
(36.159506, -86.690275)"
15-20036,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/29/2014,01/06/2015,09314059200,City Winery Nashville,City Winery Nashville LLC,609  Lafayette ST,Nashville,TN,37203.00000,19,37019500,"609 Lafayette ST
Nashville, TN 37203
(36.153413, -86.775945)"
19-25967,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/08/2019,06/18/2019,08205015400,O-KU SUSHI,Stephen Palmer,81  VAN BUREN ST,NASHVILLE,TN,37208.00000,19,37019400,"81 VAN BUREN ST
NASHVILLE, TN 37208
(36.181976, -86.785124)"
20-26772,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/13/2020,02/25/2021,10402033700,FAIRFIELD INN & SUITES NASHVILLE/VANDERBILT,,109  29TH AVE N,NASHVILLE,TN,37203.00000,21,37016600,"109 29TH AVE N
NASHVILLE, TN 37203
(36.145474, -86.813878)"
20-26422,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/13/2020,04/14/2020,08209005400,SMOKEHOUSE ON SIXTH,Terrence Ian Byars,1318  6TH AVE N,NASHVILLE,TN,37208.00000,19,37019400,"1318 6TH AVE N
NASHVILLE, TN 37208
(36.177498, -86.791023)"
19-25958,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/28/2019,06/19/2019,09310048700,JW Marriott,"8th &amp; Demonbreun Hotel LC, 8th &amp; Demonbreun Hotel Limited Partner LLC",201  8TH AVE S,NASHVILLE,TN,37203.00000,19,37019500,"201 8TH AVE S
NASHVILLE, TN 37203
(36.15658, -86.780634)"
20-26463,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/03/2020,04/14/2020,10314002600,Reserva Cigars,,73  WHITE BRIDGE PIKE,NASHVILLE,TN,37205.00000,24,37018102,"73 WHITE BRIDGE PIKE
NASHVILLE, TN 37205"
20-26507,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/20/2020,04/14/2020,083060C01200CO,GRAZE NASHVILLE,"Ashley Austin Davis, Nick Davis",1888  EASTLAND AVE,NASHVILLE,TN,37206.00000,6,37012100,"1888 EASTLAND AVE
NASHVILLE, TN 37206
(36.182617, -86.735459)"
19-25995,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/25/2019,11/07/2019,09314026000,FAT KAT SLIMS,"CHRISTOPHER WEBER, EMMANUEL WILLIAM HATZ",730  8TH AVE S,NASHVILLE,TN,37203.00000,19,37019500,"730 8TH AVE S
NASHVILLE, TN 37203
(36.149329, -86.779146)"
19-26015,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/07/2019,06/21/2019,093061F10100CO,CHILE BURRITO,"Jason Kean Kerr (20%), John Talbot Masten, III (80%)",162  4TH AVE N 101,NASHVILLE,TN,37219.00000,19,37019500,"162 4TH AVE N 101
NASHVILLE, TN 37219
(36.163343, -86.778704)"
20-26508,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/20/2020,04/16/2020,09216018300,FLATIRON NASHVILLE,victoria rothberg,1929  BROADWAY,NASHVILLE,TN,37203.00000,19,37019500,"1929 BROADWAY
NASHVILLE, TN 37203
(36.149258, -86.798415)"
21-27064,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/02/2021,02/25/2021,07103005200,GARIBALDI MARKET,,2402  DICKERSON PIKE,NASHVILLE,TN,37207.00000,5,37011001,"2402 DICKERSON PIKE
NASHVILLE, TN 37207
(36.208392, -86.767277)"
19-26390,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/06/2019,04/20/2020,10507044700,BENTO BOX,,1281  3RD AVE S,NASHVILLE,TN,37210.00000,17,37016000,"1281 3RD AVE S
NASHVILLE, TN 37210
(36.141876, -86.763414)"
19-26262,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/12/2019,11/07/2019,08309013800,THE TREEHOUSE,Caroline Wilson Black 29%,1011  CLEARVIEW AVE,NASHVILLE,TN,37206.00000,6,37019200,"1011 CLEARVIEW AVE
NASHVILLE, TN 37206
(36.177713, -86.750535)"
19-26135,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/09/2019,11/07/2019,18300008500,CITGO FOOD MART LLC,Akash Ganguly 100%,13001  OLD HICKORY BLVD,LAVERGNE,TN,37086.00000,33,37015630,"13001 OLD HICKORY BLVD
LAVERGNE, TN 37086
(36.016671, -86.619909)"
19-26036,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/17/2019,11/07/2019,08207013900,RED HEADED STRANGER,,305  ARRINGTON ST,NASHVILLE,TN,37207.00000,5,37011800,"305 ARRINGTON ST
NASHVILLE, TN 37207
(36.184928, -86.767957)"
19-26306,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/06/2019,11/07/2019,04405019400,FULL THROTTLE BAR & GRILL,,333  SWINGING BRIDGE RD,OLD HICKORY,TN,37138.00000,11,37010501,"333 SWINGING BRIDGE RD
OLD HICKORY, TN 37138
(36.271819, -86.662748)"
19-25866,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/01/2019,06/27/2019,104060A15000CO,WOODLANDS INDIAN CUISINE,,3415  WEST END AVE  101B,NASHVILLE,TN,37203.00000,18,37016800,"3415 WEST END AVE 101B
NASHVILLE, TN 37203
(36.138506, -86.820007)"
19-25996,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/27/2019,06/27/2019,09306203000,ANOTHER BROKEN EGG CAFE,,208  COMMERCE ST,NASHVILLE,TN,37201.00000,19,37019500,"208 COMMERCE ST
NASHVILLE, TN 37201
(36.163036, -86.776565)"
19-26021,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/08/2019,06/27/2019,16200029000,LOVE MARKET TOBACCO & BEER,,1309  BELL RD  206,NASHVILLE,TN,37013.00000,31,37019111,"1309 BELL RD 206
NASHVILLE, TN 37013
(36.046152, -86.676242)"
T21-27254,TEMPORARY,BBPERMIT,ONSALES,BB - On Site Sales,05/21/2021,,09111022000,RED BICYCLE COFFEE AND CREPES,,712  51ST AVE N,NASHVILLE,TN,37209.00000,20,37013300,"712 51ST AVE N
NASHVILLE, TN 37209
(36.156203, -86.848781)"
19-25991,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/24/2019,06/27/2019,08209041300,WALDOS CHICKEN GERMANTOWN,,1120  4TH AVE N 103,NASHVILLE,TN,37208.00000,19,37019400,"1120 4TH AVE N 103
NASHVILLE, TN 37208
(36.17571, -86.786731)"
19-26004,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/01/2019,06/27/2019,11714015900,EMMY SQUARED GREEN HILLS,,3821  GREEN HILLS VILLAGE DR,NASHVILLE,TN,37215.00000,25,37017901,"3821 GREEN HILLS VILLAGE DR
NASHVILLE, TN 37215
(36.1086, -86.815498)"
19-26021,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/08/2019,06/27/2019,16200028900,LOVE MARKET TOBACCO & BEER,,1309  BELL RD  205,ANTIOCH,TN,37013.00000,31,37019111,"1309 BELL RD 205
ANTIOCH, TN 37013
(36.046152, -86.676242)"
18-25790,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/30/2018,06/27/2019,08305012900,"SMOKERS ABBEY, LLC","Jason Green 35%, Joshua Stump 45%",604  GALLATIN AVE  101,NASHVILLE,TN,37206.00000,5,37011900,"604 GALLATIN AVE 101
NASHVILLE, TN 37206
(36.182791, -86.748804)"
19-26084,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/10/2019,06/27/2019,09106030300,UPTOWN MARKET,,5520  KENTUCKY AVE,NASHVILLE,TN,37209.00000,20,37013300,"5520 KENTUCKY AVE
NASHVILLE, TN 37209
(36.159631, -86.855339)"
19-26049,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/21/2019,06/27/2019,07300003700,GRAND OLE OPRY,,2804  OPRYLAND DR,NASHVILLE,TN,37214.00000,15,37015300,"2804 OPRYLAND DR
NASHVILLE, TN 37214
(36.20958, -86.691799)"
21-27046,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/15/2021,02/25/2021,10801006800,SONESTA SELECT NASHVILLE AIRPORT SUITES,,1100  AIRPORT CENTER DR,NASHVILLE,TN,37214.00000,15,37015502,"1100 AIRPORT CENTER DR
NASHVILLE, TN 37214
(36.144122, -86.663486)"
19-25929,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/08/2019,11/07/2019,10315004300,TRADER JOE'S #739,,90  WHITE BRIDGE PIKE,NASHVILLE,TN,37205.00000,24,37018102,"90 WHITE BRIDGE PIKE
NASHVILLE, TN 37205"
19-26299,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/02/2019,11/07/2019,09309010700,The Mockingbird Nashville,"Maneet Chauhan, Vivek Deora",121A  12TH AVE N,NASHVILLE,TN,37203.00000,19,37019500,"121A 12TH AVE N
NASHVILLE, TN 37203
(36.157575, -86.788123)"
19-25980,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/17/2019,11/08/2019,09306400800,LOSER'S BAR & GRILL DOWNTOWN,,111  4TH AVE S,NASHVILLE,TN,37201.00000,19,37019500,"111 4TH AVE S
NASHVILLE, TN 37201
(36.160507, -86.776825)"
19-26265,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/16/2019,11/08/2019,08212034000,Lakeside Lounge,,921  WOODLAND ST,NASHVILLE,TN,37206.00000,6,37019200,"921 WOODLAND ST
NASHVILLE, TN 37206
(36.175532, -86.755081)"
19-25906,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/01/2019,06/27/2019,08600008900,JUICY SEAFOOD,,5514  OLD HICKORY BLVD,HERMITAGE,TN,37076.00000,12,37015623,"5514 OLD HICKORY BLVD
HERMITAGE, TN 37076
(36.180692, -86.606423)"
19-25931,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/12/2019,06/27/2019,09306311100,Downtown Sporting Club,"Brian Waller (4.04%), Broadway Building VCF, LLC (75%), Robert Chapman (5.499%)",411  BROADWAY,NASHVILLE,TN,37203.00000,19,37019500,"411 BROADWAY
NASHVILLE, TN 37203
(36.160811, -86.777712)"
19-25928,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/07/2019,11/08/2019,13005000100,SAM'S PLACE,"Allison Thomas, Sam Sanchez",6051  HIGHWAY 100,NASHVILLE,TN,37205.00000,34,37018500,"6051 HIGHWAY 100
NASHVILLE, TN 37205
(36.097271, -86.873104)"
21-27068,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/02/2021,02/25/2021,10200009400,WORLD MARKET #300,,6728  CHARLOTTE PIKE,NASHVILLE,TN,37209.00000,20,37018201,"6728 CHARLOTTE PIKE
NASHVILLE, TN 37209
(36.135547, -86.885978)"
21-27035,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/07/2021,02/25/2021,08309013400,SHEP'S DELICATESSEN,,1000  MAIN ST,NASHVILLE,TN,37206.00000,6,37019200,"1000 MAIN ST
NASHVILLE, TN 37206
(36.178298, -86.751402)"
09-16596,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/09/2009,12/29/2009,03405013000,Dollar General #9630,"Dolgencorp, LLC",1578  Gallatin PIKE N,Madison,TN,37115.00000,10,37010401,"1578 Gallatin PIKE N
Madison, TN 37115
(36.292052, -86.702981)"
20-26536,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/11/2020,08/28/2020,10408016000,RUBY SUNSHINE,,1800  21ST AVE S,NASHVILLE,TN,37212.00000,18,37016400,"1800 21ST AVE S
NASHVILLE, TN 37212
(36.136759, -86.800864)"
18-25793,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/04/2018,06/28/2019,09310033300,HOLIDAY INN 4th & PEABODY,,415  4TH AVE S,NASHVILLE,TN,37201.00000,19,37019500,"415 4TH AVE S
NASHVILLE, TN 37201
(36.156293, -86.774114)"
19-25860,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/30/2019,06/28/2019,08309019400,CILANTRO FIVE POINTS MEXICAN GRILL,Yeon Su Na,972  MAIN ST,NASHVILLE,TN,37206.00000,6,37019200,"972 MAIN ST
NASHVILLE, TN 37206
(36.177851, -86.752304)"
19-26057,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,05/23/2019,07/01/2019,08216009400,MUSIC CITY HOT CHICKEN FESTIVAL,,700  WOODLAND ST,NASHVILLE,TN,37206.00000,6,37019200,"700 WOODLAND ST
NASHVILLE, TN 37206
(36.17332, -86.760862)"
19-25886,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,02/19/2019,11/12/2019,04300027300,YAZOO BREWING COMPANY,"Lila Hall - 50%, Linus Hall - 50%",900  RIVER BLUFF DR,MADISON,TN,37115.00000,9,37010402,"900 RIVER BLUFF DR
MADISON, TN 37115
(36.275885, -86.68761)"
19-25973,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/11/2019,11/12/2019,09309007600,THE EASTERN PEAK--GOSSETT,Art Charnpanichka,133  12TH AVE N,NASHVILLE,TN,37203.00000,19,37019500,"133 12TH AVE N
NASHVILLE, TN 37203
(36.158168, -86.788841)"
19-26178,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/30/2019,11/13/2019,07509026400,CANCUN MARKET,,4705  OLD HICKORY BLVD,OLD HICKORY,TN,37138.00000,14,37015402,"4705 OLD HICKORY BLVD
OLD HICKORY, TN 37138
(36.200772, -86.62097)"
T21-27151,TEMPORARY,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/02/2021,,07207029200,BITE A BIT THAI SUSHI,KEVIN SICHOUMPHONH,1402  MCGAVOCK PIKE,NASHVILLE,TN,37216.00000,7,37011500,"1402 MCGAVOCK PIKE
NASHVILLE, TN 37216
(36.204913, -86.724051)"
T21-27277,TEMPORARY,BBPERMIT,ONSALES,BB - On Site Sales,06/07/2021,,14712009600,MEDUSA'S BAR AND BILLARDS,REBECA NOHEMY RAMIREZ,4706  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,30,37019004,"4706 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.067625, -86.718591)"
18-25344,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/19/2018,03/02/2018,10314002600,LEMONGRASS THAI,,73  WHITE BRIDGE PIKE,NASHVILLE,TN,37205.00000,24,37018102,"73 WHITE BRIDGE PIKE
NASHVILLE, TN 37205"
19-26344,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/01/2019,04/23/2020,08314013700,FROTHY MONKEY,Ryan Pruitt,1701A  FATHERLAND ST,NASHVILLE,TN,37206.00000,6,37012200,"1701A FATHERLAND ST
NASHVILLE, TN 37206
(36.173123, -86.739631)"
20-26495,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/14/2020,04/23/2020,08213040500,BROOKLYN BOWL NASHVILLE,"Christopher Tucker Herndon, Trustee, Joseph Michael Hall, Trustee",925  3RD AVE N,NASHVILLE,TN,37201.00000,19,37019400,"925 3RD AVE N
NASHVILLE, TN 37201
(36.172659, -86.783184)"
19-26101,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/24/2019,07/11/2019,11714017600,CHAR RESTAURANT,"Benjamin John William Brock - 25%, David Alan Conn - 25%, James Douglas Hogrefe - 25%, Paul Bernard Schramkowski - 25%",3988  HILLSBORO PIKE,NASHVILLE,TN,37215.00000,25,37017901,"3988 HILLSBORO PIKE
NASHVILLE, TN 37215
(36.10495, -86.814464)"
17-25127,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/14/2017,08/10/2017,10801006200,HAMPTON INN & SUITES NASHVILLE AIRPORT,,583  DONELSON PIKE,NASHVILLE,TN,37214.00000,15,37015502,"583 DONELSON PIKE
NASHVILLE, TN 37214
(36.143063, -86.666577)"
19-25923,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/06/2019,08/28/2019,17100002400,BRENTWOOD SUITES HOTEL,,622  CHURCH ST E,BRENTWOOD,TN,37027.00000,4,37018803,"622 CHURCH ST E
BRENTWOOD, TN 37027
(36.033528, -86.779253)"
20-26738,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/13/2020,08/31/2020,065130A00200CO,NASH SMOKES & BREWS,Nader Wasif,4963  LEBANON PIKE,OLD HICKORY,TN,37138.00000,11,37015401,"4963 LEBANON PIKE
OLD HICKORY, TN 37138
(36.216438, -86.584398)"
19-26048,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,05/20/2019,07/11/2019,11816003000,THE BLACK ABBEY BREWING COMPANY,Doug Franck - 1,2952  SIDCO DR,NASHVILLE,TN,37204.00000,16,37980200,"2952 SIDCO DR
NASHVILLE, TN 37204
(36.105978, -86.755864)"
18-25808,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/18/2018,07/11/2019,08303016000,SOUTHERN GRIST BREWING COMPANY,,1201  PORTER RD,NASHVILLE,TN,37206.00000,6,37011700,"1201 PORTER RD
NASHVILLE, TN 37206
(36.188892, -86.729083)"
18-25740,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/22/2018,07/11/2019,10516020300,TEMPO,,2179  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,17,37017200,"2179 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.127859, -86.753649)"
19-26297,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/02/2019,11/21/2019,09116039500,CHAATABLE,"Music City MD LLP, SNB Investments, LLC",345  40TH AVE N,NASHVILLE,TN,37209.00000,24,37013500,"345 40TH AVE N
NASHVILLE, TN 37209
(36.151982, -86.833824)"
19-26350,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/06/2019,11/21/2019,09112015900,HIGHTAIL #7204,,4601  ALABAMA AVE,NASHVILLE,TN,37209.00000,24,37013400,"4601 ALABAMA AVE
NASHVILLE, TN 37209
(36.153285, -86.842522)"
19-26352,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/06/2019,11/21/2019,09700011100,HIGHTAIL #7218,,5800  OLD HICKORY BLVD,HERMITAGE,TN,37076.00000,12,37015610,"5800 OLD HICKORY BLVD
HERMITAGE, TN 37076
(36.169258, -86.600781)"
