,Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Address,City,State,Zip,Mapped Location
335,20-26497,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,02/17/2020,12/21/2020,09111029700,COCO'S  ITALIAN MARKET AND RESTAURANT,411  51ST AVE N,NASHVILLE,TN,37209.0,"411 51ST AVE N
NASHVILLE, TN 37209
(36.152755, -86.848605)"
336,20-26945,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/01/2020,03/03/2021,09212047800,SHABU SHABU HOT POT & BARBECUE,1722  WEST END AVE,NASHVILLE,TN,37203.0,"1722 WEST END AVE
NASHVILLE, TN 37203
(36.153084, -86.795836)"
337,20-26828,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/25/2020,03/15/2021,13611007600,TAQUERIA LA SAN MARQUENA,3618  ANDERSON RD,NASHVILLE,TN,37217.0,"3618 ANDERSON RD
NASHVILLE, TN 37217
(36.089223, -86.606757)"
338,20-26511,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/21/2020,08/19/2020,13315015400,TRINITY COFFEE,3961A  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,"3961A NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.085327, -86.728563)"
339,20-27024,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/23/2020,03/16/2021,07509027400,FLAT TIRE DINER,4700  OLD HICKORY BLVD,OLD HICKORY,TN,37138.0,"4700 OLD HICKORY BLVD
OLD HICKORY, TN 37138
(36.202657, -86.621518)"
340,21-27231,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,05/08/2021,05/27/2021,10200008400,WAYBACK BURGER NASHVILLE,7050  CHARLOTTE PIKE,NASHVILLE,TN,37209.0,"7050 CHARLOTTE PIKE
NASHVILLE, TN 37209
(36.12857, -86.906662)"
341,21-27175,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,04/15/2021,05/27/2021,13300000400,Brew At The Zoo,3777  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,"3777 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.091149, -86.734904)"
342,17-25257,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/27/2017,11/16/2017,10514008700,HATTIE B'S,2222  8TH AVE S,NASHVILLE,TN,37204.0,"2222 8TH AVE S
NASHVILLE, TN 37204
(36.128847, -86.777964)"
343,17-25258,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/27/2017,11/16/2017,09115009700,HATTIE B'S,5209  CHARLOTTE AVE,NASHVILLE,TN,37209.0,"5209 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.151885, -86.850841)"
345,20-26492,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/12/2020,08/19/2020,10501022800,JACK BROWN'S JOINT EDGEHILL,1201  VILLA PL  102,NASHVILLE,TN,37212.0,"1201 VILLA PL 102
NASHVILLE, TN 37212
(36.142938, -86.791932)"
346,21-27073,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/04/2021,07/08/2021,093063A00300CO,SHAKE SHACK,5002  BROADWAY PL,NASHVILLE,TN,37203.0,"5002 BROADWAY PL
NASHVILLE, TN 37203"
347,21-27263,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/26/2021,07/09/2021,13300000400,NASHVILLE ZOO AT GRASSMERE,3777  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,"3777 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.091149, -86.734904)"
348,20-26860,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/22/2020,03/25/2021,09309034300,GRAND HYATT NASHVILLE,1000  BROADWAY,NASHVILLE,TN,37203.0,"1000 BROADWAY
NASHVILLE, TN 37203
(36.157909, -86.784431)"
349,20-26995,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/05/2020,03/25/2021,02900026900,JOELTON HARDWARE & FEED,5538C  CLARKSVILLE PIKE,JOELTON,TN,37080.0,"5538C CLARKSVILLE PIKE
JOELTON, TN 37080
(36.280767, -86.875499)"
350,20-26870,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/07/2020,03/25/2021,09302316600,JANE'S HIDEAWAY,209  3RD AVE N 101,NASHVILLE,TN,37201.0,"209 3RD AVE N 101
NASHVILLE, TN 37201
(36.164654, -86.778001)"
351,19-25943,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/15/2019,03/23/2020,09504000300,SUNFLOWER BAKEHOUSE LLC,2414B  LEBANON PIKE,NASHVILLE,TN,37214.0,"2414B LEBANON PIKE
NASHVILLE, TN 37214
(36.169243, -86.680831)"
352,20-26767,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/07/2020,03/25/2021,093063A00300CO,THE NATIONAL MUSEUM OF AFRICAN AMERICAN MUSIC,510  BROADWAY,NASHVILLE,TN,37203.0,"510 BROADWAY
NASHVILLE, TN 37203
(36.16031, -86.778873)"
353,20-27016,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/18/2020,03/25/2021,093063A00300CO,EDDIE V'S #8529,590  BROADWAY,NASHVILLE,TN,37203.0,"590 BROADWAY
NASHVILLE, TN 37203
(36.159909, -86.779807)"
354,20-26976,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/18/2020,03/25/2021,14908002000,3  AMIGOS BAR & HOOKAH LOUNGE,2626C  MURFREESBORO PIKE,NASHVILLE,TN,37217.0,"2626C MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.07296, -86.637184)"
355,20-26455,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/27/2020,03/26/2020,06200023300,AxeVentures,2416  MUSIC VALLEY DR  151,NASHVILLE,TN,37214.0,"2416 MUSIC VALLEY DR 151
NASHVILLE, TN 37214
(36.218524, -86.695398)"
356,21-27075,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/08/2021,05/03/2021,07500002600,NATCHEZ HILLS AT THE HERMITAGE,4580  RACHELS LN,HERMITAGE,TN,37076.0,"4580 RACHELS LN
HERMITAGE, TN 37076
(36.212821, -86.611722)"
357,20-26954,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,10/12/2020,05/13/2021,09306009500,THE RIVER HOUSE,313  DEMONBREUN ST,NASHVILLE,TN,37201.0,"313 DEMONBREUN ST
NASHVILLE, TN 37201
(36.159273, -86.775286)"
358,19-25978,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/15/2019,03/26/2020,09306300000002,RENAISSANCE NASHVILLE HOTEL,611  COMMERCE ST,NASHVILLE,TN,37203.0,"611 COMMERCE ST
NASHVILLE, TN 37203
(36.161019, -86.78131)"
359,21-27199,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/26/2021,05/27/2021,13315015400,Z-BAR,3955  NOLENSVILLE PIKE,NASHVILLE,TN,37211.0,"3955 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.085378, -86.72861)"
360,20-26867,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,08/05/2020,05/27/2021,09306210000,ROCK BOTTOM RESTAURANT & BREWERY #4202 (RESTAURANT),111  BROADWAY,NASHVILLE,TN,37201.0,"111 BROADWAY
NASHVILLE, TN 37201
(36.162036, -86.774916)"
362,21-27145,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/27/2021,05/27/2021,08213019900,EMMY SQUARED,1121  5TH AVE N,NASHVILLE,TN,37208.0,"1121 5TH AVE N
NASHVILLE, TN 37208
(36.174781, -86.787708)"
363,20-26871,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,08/07/2020,05/27/2021,09306210000,ROCK BOTTOM RESTAURANT & BREWERY (ROOFTOP),111  BROADWAY   400,NASHVILLE,TN,37201.0,"111 BROADWAY 400
NASHVILLE, TN 37201
(36.162036, -86.774916)"
364,12-19585,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Ryman A Foyer,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
365,18-25451,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/03/2018,09/27/2018,11400011400,MESTIZOS MEXICAN CUISINE,699  OLD HICKORY BLVD,NASHVILLE,TN,37209.0,"699 OLD HICKORY BLVD
NASHVILLE, TN 37209
(36.116112, -86.92317)"
366,18-25454,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/05/2018,03/28/2019,09314056300,PEG LEG PORKER BBQ,903  GLEAVES ST,NASHVILLE,TN,37203.0,"903 GLEAVES ST
NASHVILLE, TN 37203
(36.151995, -86.781119)"
367,12-19601,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/24/2012,10/11/2012,06200006500,"Gaylord Springs Clubhouse, 1st",18  Springhouse LN,Nashville,TN,37214.0,"18 Springhouse LN
Nashville, TN 37214
(36.220003, -86.680506)"
368,15-20070,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/05/2015,03/13/2015,16100019100,Dynasty Super Buffet,5433  Nolensville PIKE,Nashville,TN,37211.0,"5433 Nolensville PIKE
Nashville, TN 37211
(36.050101, -86.71402)"
369,12-19567,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Magnolia,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
370,15-20082,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/23/2015,04/09/2015,08309018500,Margot Cafe & Bar,1017  Woodland ST,Nashville,TN,37206.0,"1017 Woodland ST
Nashville, TN 37206
(36.177421, -86.750252)"
371,18-25612,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/27/2018,09/14/2018,07106007800,LA PARRILLA,305 W TRINITY LN,NASHVILLE,TN,37207.0,"305 W TRINITY LN
NASHVILLE, TN 37207
(36.206715, -86.779717)"
372,19-25831,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/08/2019,05/15/2019,09310040300,GINO'S EAST,311  3RD AVE S,NASHVILLE,TN,37201.0,"311 3RD AVE S
NASHVILLE, TN 37201
(36.158271, -86.773829)"
373,12-19577,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Presidential Boardrm B,2800  OPRYLAND DR,NASHVILLE,TN,37214.0,"2800 OPRYLAND DR
NASHVILLE, TN 37214
(36.211694, -86.697639)"
374,14-19846,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/20/2013,01/23/2014,093130L00100CO,Burger Republic Two,420  11th AVE S,Nashville,TN,37203.0,"420 11th AVE S
Nashville, TN 37203
(36.1522, -86.783944)"
375,17-25115,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/10/2017,03/26/2021,08309012500,THE ROSEMARY & BEAUTY QUEEN,1102  FORREST AVE,NASHVILLE,TN,37206.0,"1102 FORREST AVE
NASHVILLE, TN 37206
(36.178476, -86.749533)"
376,14-19895,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/16/2014,05/29/2014,09306201200,Tin Roof,316  Broadway,Nashville,TN,37201.0,"316 Broadway
Nashville, TN 37201
(36.161245, -86.776717)"
377,13-19739,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/23/2013,06/13/2013,10700008600,Mazatlan Mexican Restaurant,839  Briley PKWY,Nashville,TN,37217.0,"839 Briley PKWY
Nashville, TN 37217
(36.137669, -86.699907)"
378,18-25587,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/12/2018,08/10/2018,08213030600,NEIGHBORS OF GERMANTOWN,313  JEFFERSON ST,NASHVILLE,TN,37208.0,"313 JEFFERSON ST
NASHVILLE, TN 37208
(36.174798, -86.785649)"
379,18-25548,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",06/08/2018,02/14/2019,09111005800,HARDING HOUSE BREWING COMPANY,904  51ST AVE N,NASHVILLE,TN,37209.0,"904 51ST AVE N
NASHVILLE, TN 37209
(36.158192, -86.84889)"
380,13-19783,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/13/2013,08/29/2013,093060A00100CO,Etch Restaurant,303  Demonbreun ST,Nashville,TN,37201.0,"303 Demonbreun ST
Nashville, TN 37201
(36.15947, -86.77484)"
381,14-19899,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/28/2014,05/29/2014,10700005000,Nashville International Airpor,1  Terminal DR,Nashville,TN,37214.0,"1 Terminal DR
Nashville, TN 37214
(36.131602, -86.668735)"
382,11-19369,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/23/2011,10/13/2011,08600008900,Dusit Thai,5502  OLD HICKORY BLVD,HERMITAGE,TN,37076.0,"5502 OLD HICKORY BLVD
HERMITAGE, TN 37076
(36.180643, -86.60639)"
383,18-25602,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/25/2018,08/09/2018,09303006600,LEVY AT TENNESSEE TITANS,1  TITANS WAY,NASHVILLE,TN,37213.0,"1 TITANS WAY
NASHVILLE, TN 37213
(36.165719, -86.773573)"
384,18-25697,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",09/20/2018,12/19/2018,09204033500,CORSAIR ARTISAN,1200  CLINTON ST  110,NASHVILLE,TN,37203.0,"1200 CLINTON ST 110
NASHVILLE, TN 37203
(36.164597, -86.795571)"
385,13-19738,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/18/2013,06/13/2013,14900035600,Wing Stop,847  HAMILTON CROSSINGS,ANTIOCH,TN,37013.0,"847 HAMILTON CROSSINGS
ANTIOCH, TN 37013"
386,15-20155,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/02/2015,07/30/2015,10302006500,McDougal's Chicken,316  WHITE BRIDGE PIKE,NASHVILLE,TN,37209.0,"316 WHITE BRIDGE PIKE
NASHVILLE, TN 37209
(36.146228, -86.857993)"
387,12-19533,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Belmont,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
388,15-20175,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/20/2015,09/10/2015,10403006600,J. Alexander's/Redlands Grill,2609  West End AVE,Nashville,TN,37203.0,"2609 West End AVE
Nashville, TN 37203
(36.145796, -86.810857)"
389,15-20195,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/12/2015,10/08/2015,11714010700,Tazikis Mediterranean Cafe,2190  Bandywood DR,Nashville,TN,37215.0,"2190 Bandywood DR
Nashville, TN 37215
(36.104904, -86.817679)"
390,12-19552,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Delta Lobby B,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
391,18-25639,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/08/2018,10/25/2018,11715015300,FIRST WATCH RESTAURANT #229,2002  RICHARD JONES RD,NASHVILLE,TN,37215.0,"2002 RICHARD JONES RD
NASHVILLE, TN 37215
(36.104579, -86.8118)"
392,12-00925,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,07/31/2012,08/23/2012,09306307500,Layla's,418  Broadway,Nashville,TN,37203.0,"418 Broadway
Nashville, TN 37203
(36.160702, -86.777971)"
393,09-19135,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/19/2009,12/22/2009,09306209600,Hard Rock Cafe - 2nd Floor,100  Broadway,Nashville,TN,37201.0,"100 Broadway
Nashville, TN 37201
(36.162212, -86.774512)"
394,19-25902,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/28/2019,04/25/2019,08309018100,VANDYKE BED & BEVERAGE,105 S 11TH ST,NASHVILLE,TN,37206.0,"105 S 11TH ST
NASHVILLE, TN 37206
(36.177175, -86.749932)"
395,18-25596,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/20/2018,08/23/2018,13102001601,SHAKE SHACK,4031  HILLSBORO PIKE  904,NASHVILLE,TN,37215.0,"4031 HILLSBORO PIKE 904
NASHVILLE, TN 37215
(36.102846, -86.816652)"
396,14-20032,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/03/2014,12/18/2014,08313008500,Biscuit Love,316  11th ST S,Nashville,TN,37203.0,"316 11th ST S
Nashville, TN 37203
(36.172768, -86.750545)"
397,18-25537,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/24/2018,06/14/2018,10502044600,ADVENTURE SCIENCE CENTER,800  FORT NEGLEY BLVD,NASHVILLE,TN,37203.0,"800 FORT NEGLEY BLVD
NASHVILLE, TN 37203
(36.144819, -86.776492)"
398,14-20022,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/13/2014,12/04/2014,06200016300,Hyatt Place Nashville/Opryland,220  RUDY CIR,NASHVILLE,TN,37214.0,"220 RUDY CIR
NASHVILLE, TN 37214
(36.220169, -86.694117)"
399,17-20416,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/15/2016,01/30/2017,08112041500,5th & Taylor,1411  5th AVE N,Nashville,TN,37208.0,"1411 5th AVE N
Nashville, TN 37208
(36.178537, -86.790148)"
400,18-25795,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/04/2018,03/19/2019,08203000500,DRKMTTR COLLECTIVE,1111  DICKERSON PIKE,NASHVILLE,TN,37207.0,"1111 DICKERSON PIKE
NASHVILLE, TN 37207
(36.190959, -86.772819)"
401,17-25143,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/25/2017,09/08/2017,09713003900,REBAR AT THE DAM,3248  BLACKWOOD DR,NASHVILLE,TN,37214.0,"3248 BLACKWOOD DR
NASHVILLE, TN 37214
(36.151766, -86.627097)"
402,17-29412,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/21/2016,01/26/2017,09306208500,Famous Saloon,110  2nd AVE N,Nashville,TN,37201.0,"110 2nd AVE N
Nashville, TN 37201
(36.162296, -86.77544)"
403,16-20227,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/29/2015,01/28/2016,16100030500,Sichuan Hot Pot & Asian Cuisin,5680  Nolensville PIKE,Nashville,TN,37211.0,"5680 Nolensville PIKE
Nashville, TN 37211
(36.046512, -86.713382)"
404,18-25479,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/17/2018,05/30/2018,14200015900,GREEK CAFE,7038B  HIGHWAY 70  S,NASHVILLE,TN,37221.0,"7038B HIGHWAY 70 S
NASHVILLE, TN 37221
(36.07507, -86.919057)"
405,18-25372,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/12/2018,03/08/2018,07206023300,WALDEN BAR,2909  GALLATIN PIKE,NASHVILLE,TN,37216.0,"2909 GALLATIN PIKE
NASHVILLE, TN 37216
(36.202898, -86.738852)"
406,17-25269,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/06/2017,11/16/2017,07300003200,Gaylord Opryland Hotel - Cascade's Resta,2800  OPRYLAND DR,NASHVILLE,TN,37214.0,"2800 OPRYLAND DR
NASHVILLE, TN 37214
(36.211694, -86.697639)"
407,12-19454,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/10/2012,05/21/2012,16300023600,O'Charley's Restaurant,923  Bell RD,Antioch,TN,37013.0,"923 Bell RD
Antioch, TN 37013
(36.049107, -86.652582)"
408,16-01010,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,10/25/2016,11/17/2016,09313000800,TailGate Brewery Music Row,1538  Demonbreun ST,Nashville,TN,37203.0,"1538 Demonbreun ST
Nashville, TN 37203
(36.152775, -86.790349)"
409,17-20466,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/28/2017,04/13/2017,06700005600,The Old School,5022  Old Hydes Ferry PIKE,Nashville,TN,37218.0,"5022 Old Hydes Ferry PIKE
Nashville, TN 37218
(36.209401, -86.923735)"
410,94-16173,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/20/1993,02/01/1994,02100024700,Rawlings Farm,5395  Rawlings RD,Joelton,TN,37080.0,"5395 Rawlings RD
Joelton, TN 37080
(36.308398, -86.904011)"
411,13-19820,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/14/2013,11/07/2013,09306307200,"Legends Corner, Inc.",428  Broadway,Nashville,TN,37203.0,"428 Broadway
Nashville, TN 37203
(36.160644, -86.778113)"
412,16-00187,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",10/30/2015,03/30/2016,09315017400,New Heights Brewing Company,928  5th AVE S,Nashville,TN,37203.0,"928 5th AVE S
Nashville, TN 37203
(36.148833, -86.770818)"
413,15-20199,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/08/2015,10/29/2015,08212033600,The Basement East,917  Woodland ST,Nashville,TN,37206.0,"917 Woodland ST
Nashville, TN 37206
(36.17537, -86.755499)"
414,17-25294,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",10/25/2017,03/08/2018,09100005500,SOUTHERN GRIST BREWING COMPANY,5000  CENTENNIAL BLVD,NASHVILLE,TN,37209.0,"5000 CENTENNIAL BLVD
NASHVILLE, TN 37209
(36.162328, -86.847563)"
415,18-25737,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/19/2018,11/01/2018,17100014900,MADAI,4932  THOROUGHBRED LN,BRENTWOOD,TN,37027.0,"4932 THOROUGHBRED LN
BRENTWOOD, TN 37027
(36.035539, -86.787551)"
416,94-15860,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/23/1993,02/01/1994,09302300700,TN Performing Arts Center,505  Deaderick ST,Nashville,TN,37219.0,"505 Deaderick ST
Nashville, TN 37219
(36.165033, -86.782121)"
417,16-20362,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/31/2016,10/13/2016,09309027000,Del Frisco's Grille,1201  Demonbreun ST  104,Nashville,TN,37203.0,"1201 Demonbreun ST 104
Nashville, TN 37203
(36.154621, -86.786175)"
418,17-25078,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/08/2017,08/31/2017,09309023300,KAYNE PRIME,1103  MCGAVOCK ST,NASHVILLE,TN,37203.0,"1103 MCGAVOCK ST
NASHVILLE, TN 37203
(36.155865, -86.786055)"
419,05-00736,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,02/23/2005,03/11/2005,14200027800,Sir Pizza,7648  Highway 70  S 19,Nashville,TN,37221.0,"7648 Highway 70 S 19
Nashville, TN 37221
(36.079335, -86.952919)"
420,11-19242,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/11/2011,01/27/2011,09216012600,Tavern,1904  Broadway,Nashville,TN,37203.0,"1904 Broadway
Nashville, TN 37203
(36.150726, -86.796785)"
421,21-27041,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/13/2021,05/27/2021,093063A00300CO,BLANCO TACOS + TEQUILA,530  BROADWAY,NASHVILLE,TN,37203.0,"530 BROADWAY
NASHVILLE, TN 37203
(36.160206, -86.779119)"
422,13-19719,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/03/2013,04/26/2013,09306203000,Brugada,204  Commerce ST,Nashville,TN,37201.0,"204 Commerce ST
Nashville, TN 37201
(36.163068, -86.776478)"
423,19-26323,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,10/16/2019,03/26/2021,09111023200,"CZANN'S BREWING COMPANY, LLC",4909  INDIANA AVE,NASHVILLE,TN,37209.0,"4909 INDIANA AVE
NASHVILLE, TN 37209
(36.156541, -86.847182)"
424,14-19852,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/13/2014,02/13/2014,07509026800,Koi Restaurant,4803  Old Hickory BLVD,Hermitage,TN,37076.0,"4803 Old Hickory BLVD
Hermitage, TN 37076
(36.19992, -86.620712)"
425,18-25736,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,10/19/2018,11/01/2018,09309030200,CRAFTY BASTARDS,1201  LAUREL ST,NASHVILLE,TN,37203.0,"1201 LAUREL ST
NASHVILLE, TN 37203
(36.153452, -86.785828)"
426,11-19334,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/20/2011,08/10/2011,09309032000,Wild Wasabi,209  10th AVE S 215,Nashville,TN,37203.0,"209 10th AVE S 215
Nashville, TN 37203
(36.154965, -86.782059)"
427,16-20266,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/22/2016,04/14/2016,11714042700,Nordstrom Grill,2130  Abbott Martin RD,Nashville,TN,37215.0,"2130 Abbott Martin RD
Nashville, TN 37215
(36.106203, -86.816823)"
428,18-25802,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/13/2018,01/10/2019,16100008401,SAM'S PLACE,15545  OLD HICKORY BLVD,NASHVILLE,TN,37211.0,"15545 OLD HICKORY BLVD
NASHVILLE, TN 37211
(36.03993, -86.741624)"
429,07-18618,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/12/2006,01/11/2007,09216001800,Loews Vanderbilt (Lobby Level),2100  West End AVE,Nashville,TN,37203.0,"2100 West End AVE
Nashville, TN 37203
(36.150104, -86.801927)"
430,17-25017,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/16/2017,06/29/2017,08212031400,ATTABOY,8  MCFERRIN AVE,NASHVILLE,TN,37206.0,"8 MCFERRIN AVE
NASHVILLE, TN 37206
(36.176196, -86.755307)"
431,10-19089,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/16/2010,10/12/2010,07504023600,Gondola House Pizzeria,4613  Lebanon RD,Nashville,TN,37076.0,"4613 Lebanon RD
Nashville, TN 37076
(36.238417, -86.399106)"
432,15-20148,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/30/2015,07/24/2015,09306205000,Big Shotz,115  2nd AVE N,Nashville,TN,37203.0,"115 2nd AVE N
Nashville, TN 37203
(36.162429, -86.775532)"
433,17-25021,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/17/2017,05/25/2017,09306311200,Pancho & Lefty's Cantina,104  5TH AVE S,NASHVILLE,TN,37203.0,"104 5TH AVE S
NASHVILLE, TN 37203
(36.160168, -86.778228)"
434,15-20067,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/11/2015,03/12/2015,09306104700,Bajo Sexto Taco,216  5th AVE S,Nashville,TN,37203.0,"216 5th AVE S
Nashville, TN 37203
(36.158434, -86.777098)"
435,94-16068,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/31/1993,02/01/1994,09215010200,Jimmy Kelly's Restaurant,217  Louise AVE,Nashville,TN,37203.0,"217 Louise AVE
Nashville, TN 37203
(36.151584, -86.80502)"
436,08-18911,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/08/2008,10/22/2008,17100014900,Cinco De Mayo Mexican Rest,4944  Thoroughbred LN,Brentwood,TN,37027.0,"4944 Thoroughbred LN
Brentwood, TN 37027
(36.035554, -86.787575)"
437,08-00838,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/12/2008,04/10/2008,08303015900,Eastside,2105  Greenwood AVE,Nashville,TN,37206.0,"2105 Greenwood AVE
Nashville, TN 37206
(36.188465, -86.728344)"
